,0
632,1.9594119467772776e-09
633,4.9639023230671714e-09
634,-9.035763787880949e-11
635,-1.1592296762427491e-10
636,4.5426919471147576e-09
637,7.157843958798724e-09
638,-1.336128111659385e-10
639,-1.611557439748767e-10
640,9.500950914629516e-09
641,2.221121493967173e-08
642,-1.6384743066846943e-10
643,-2.887193590393785e-11
644,9.537140978801194e-10
645,2.999999987287175
646,3.75603436872375e-11
647,1.243238262313213e-10
648,2.609828956443144e-10
649,2.204279466127571e-09
650,1.712367030593112e-10
651,1.5571227816642272e-10
652,8.262709925559988e-10
653,5.123982023296294e-10
654,24.0000000176152
655,24.000000002961528
656,23.999999994272017
657,23.999999986274783
658,23.99999997486085
659,23.999999951633104
660,18.000000039142485
661,18.00000001091328
662,17.99999999977045
663,17.999999989907714
664,17.999999978233166
665,17.99999994750774
666,12.000000040724197
667,12.00000001187873
668,12.000000000990473
669,11.999999990828755
670,11.999999980078316
671,11.999999948655685
672,6.000000040934585
673,6.0000000112901075
674,6.000000000954051
675,5.99999999280411
676,5.9999999809890765
677,5.999999942947751
678,5.144692342940351e-09
679,1.54881088001467e-09
680,5.127413692033242e-10
681,2.997684765351974e-10
682,2.997684765351974e-10
683,2.997684765351974e-10
684,2.997684765351974e-10
685,2.997684765351974e-10
686,2.997684765351974e-10
687,2.997684765351974e-10
688,2.997684765351974e-10
689,2.997684765351974e-10
690,2.997684765351974e-10
691,2.997684765351974e-10
692,2.997684765351974e-10
693,2.997684765351974e-10
694,2.997684765351974e-10
695,2.997684765351974e-10
696,2.997684765351974e-10
697,2.997684765351974e-10
698,2.997684765351974e-10
699,2.997684765351974e-10
700,2.997684765351974e-10
701,2.997684765351974e-10
