,0,1
180,1.756990920052765e-13,1.6682992212602762e-13
181,1.838638218377749e-13,3.3454923384024983e-13
182,1.953329881275324e-13,5.40686234676615e-13
183,2.0710402075776899e-13,5.114842756141821e-13
184,2.1852528386055145e-13,5.173729224129665e-13
185,2.2982009417463454e-13,-4.750201337349759e-14
186,2.442988120193069e-13,5.522709803928681e-13
187,2.2328520958664624e-13,-2.3593625504916813e-14
188,2.224638496303073e-13,4.720994965264481e-13
189,2.2558384804618989e-13,4.692673412525609e-13
190,2.302616773605597e-13,5.379255627040873e-13
191,2.3522078266079564e-13,3.21560944776252e-13
192,2.369442342788555e-13,3.935963572539205e-13
193,1.138782407958156e-13,1.4942474009302868e-13
194,1.79159665185421e-13,1.2045566674113728e-13
195,9.66960526707557e-14,7.05204236108824e-14
