,0
104,1.2432382746690585e-10
105,1.712367047690187e-10
106,8.262709883603925e-10
107,1.5571227713100805e-10
108,5.123982055613386e-10
109,5.185283568566371e-10
110,2.9976844107028824e-10
111,1.0563560634360758e-08
112,8.715864526193112e-09
113,1.1161662611085416e-12
114,2.9491545068945783e-10
115,2.9999999667783577
116,5.65997383483884e-09
117,-5.162988025919634e-11
118,-4.8219675347720456e-11
119,1.2706845102744082e-08
120,4.129163764643427e-09
121,-7.606249772543894e-11
122,-5.444857463302465e-11
123,6.055434993445354e-09
124,3.143602215082337e-09
125,-1.0465288216264597e-10
126,-5.2007831174126726e-11
127,4.946625781384011e-09
128,1.158586376974803e-09
129,-1.3462511254011472e-10
130,7.230078985578467e-11
131,5.720063419611596e-09
132,1.2120341493402644e-09
133,-1.2133595621461236e-10
134,9.036030581121824e-11
135,1.5287791337637395e-08
136,2.1354274461414357e-09
137,-1.1077514953626817e-10
138,8.18571813915304e-11
139,2.9999999545102214
140,2.0530936010871253e-09
141,-1.0936764176390632e-10
142,2.5078750217133577e-11
143,1.501250837597009e-08
144,2.002485242027301e-09
145,-1.119363444898315e-10
146,4.4404522308046024e-12
147,6.077273345873109e-09
148,1.6166605529769066e-09
149,-1.1786791438476746e-10
150,2.8209338811792844e-11
151,5.375249360104619e-09
152,1.8888373663935814e-09
153,-1.3838670818651373e-10
154,-9.112911141255396e-12
155,5.496775588530469e-09
156,1.9315152081561155e-09
157,-1.1410895585653215e-10
158,4.373444941684769e-11
159,1.654354178013607e-08
160,1.354309483262674e-09
161,-1.1410013821595743e-10
162,-6.232001735649449e-13
163,2.999999953984824
164,1.669614424945918e-09
165,-1.1354738633505331e-10
166,6.667055264998914e-11
167,1.4578882100191767e-08
168,1.6758866231824956e-09
169,-1.1662575363717778e-10
170,2.3407201435509167e-11
171,5.8215200954899325e-09
172,1.906301921029478e-09
173,-1.1915649165572797e-10
174,3.118823068211317e-11
175,5.191460524648577e-09
176,1.7751236215158142e-09
177,-8.730149367921573e-11
178,2.7134056936149292e-11
179,6.1099842616327466e-09
180,1.4690216120790853e-09
181,-1.2060674619100338e-10
182,2.934868986326514e-11
183,1.6501159074427668e-08
184,2.3029462687746857e-09
185,-1.219388446290506e-10
186,7.217334459516564e-11
187,2.9999999526266006
188,1.3827020099930972e-09
189,-1.1715700342229785e-10
190,2.7513185367637926e-11
191,1.6326366975420872e-08
192,1.2542048115182133e-09
193,-1.1832539492677193e-10
194,7.482622218899598e-11
195,5.717927854368442e-09
196,1.9594119733762512e-09
197,-1.291858762724768e-10
198,2.7523417705754955e-11
199,3.671399917990567e-09
200,4.542691901587227e-09
201,-1.5023764186938778e-10
202,-3.2368162661911935e-11
203,3.3404704213601864e-09
204,9.50095076151785e-09
205,-1.276615744482502e-10
206,-8.714396922477009e-11
207,2.908497516528287e-09
208,9.537140876311003e-10
209,-9.31908276764572e-11
210,-7.716668933214455e-11
211,2.9999999925037995
212,2.6098288873987596e-10
213,5.59002676782876e-12
214,4.257139162767377e-10
215,2.427685479552996e-09
216,7.106714631953363e-11
217,1.7655199522749885e-09
218,3.6957188674734513e-10
219,2.997684400966748e-10
220,4.624490523408787e-09
221,4.213812588110263e-10
222,-4.820031614921127e-11
223,2.948626921929315e-10
224,1.0518287727367793e-08
225,2.7964159727841925e-09
226,-7.78993806935862e-11
227,2.739584420844152e-10
228,2.999999963821099
229,1.7138935163444061e-09
230,-1.1474705244450552e-10
231,1.5027749957212288e-11
232,1.2760408254904619e-08
233,5.637629347524936e-10
234,-1.5144623991278777e-10
235,1.9348075149660503e-10
236,5.4975399332982064e-09
237,5.320010939197968e-10
238,-1.2078710735154263e-10
239,2.2165419475854014e-10
240,4.7290174844492984e-09
241,5.58758421475112e-10
242,-1.1207278199725332e-10
243,2.1932162233011844e-10
244,5.480678428160303e-09
245,5.964320944483087e-10
